gene,dm_Tub,sc_ALG9,sc_TAF10,rep,transition
ARL2 (HL),0.513015757,0.445348273,1.263427795,1,NPC/iPSC
BTG3 (HL),8.196356191,7.115245541,20.18554808,1,NPC/iPSC
HEYL (HL),0.640805235,0.556282144,1.578140895,1,NPC/iPSC
LHFPL2 (TR),0.172157343,0.149449553,0.423979905,1,NPC/iPSC
VASH2 (TR),0.040729324,0.03535707,0.100306003,1,NPC/iPSC
ARL2 (HL),0.7758,0.6345,,2,NPC/iPSC
BTG3 (HL),3.1311,2.1165,,2,NPC/iPSC
HEYL (HL),0.80253,0.82109,,2,NPC/iPSC
LHFPL2 (TR),0.07242,0.05528,,2,NPC/iPSC
VASH2 (TR),0.02415,0.03535,,2,NPC/iPSC
PLPP3 (HL),1.030972877,1.80000386,,1,NEU/NPC
SVIP (HL),0.996251909,1.739383569,,1,NEU/NPC
DUSP26 (TR),18.14094939,31.43220717,,1,NEU/NPC
NNAT (TR),3.535725756,6.1731207,,1,NEU/NPC
PLPP3 (HL),1.0786,1.32502,,2,NEU/NPC
SVIP (HL),0.90272,1.33581,,2,NEU/NPC
DUSP26 (TR),16.194342,20.427191,,2,NEU/NPC
NNAT (TR),5.5525138,8.132237,,2,NEU/NPC